label,connections,window,frames_per_conn,width,height,channels,chains,fps,req_mb_per_s,p50_ms,p99_ms,mean_ms,max_ms,cold_first_ms,failures
phase8_res512,4,2,300,512,512,3,1,1235.69,926.766,5.45165,15.9787,6.39298,25.2085,21.3795,0
phase8_res1024,4,2,300,1024,1024,3,1,343.622,1030.87,21.9196,33.3781,23.172,40.2733,37.7516,0
phase8_res2048,4,2,120,2048,2048,3,1,67.4405,809.286,121.48,154.216,117.902,158.732,87.1495,0
phase8_res4096,4,2,40,4096,4096,3,1,12.6766,608.474,623.295,698.168,627.321,713.898,386.61,0
phase8_gaussian_baked,4,8,300,1024,1024,3,1,354.113,1062.34,88.9011,96.4525,88.8993,97.8839,56.9526,0
phase8_full_baked,4,8,300,1024,1024,3,1,275.253,825.76,114.874,123.024,114.593,124.742,59.6038,0
phase8_gaussian_parameterized,4,8,300,1024,1024,3,1,277.201,831.603,111.707,125.103,113.736,138.303,64.7358,0
phase8_full_parameterized,4,8,300,1024,1024,3,1,222.544,667.631,142.592,152.74,141.9,154.433,56.8485,0
phase8_sigmas_cold_baked,4,8,300,1024,1024,3,4,233.43,700.291,126.227,468.44,134.775,491.535,431.572,0
phase8_sigmas_cold_parameterized,4,8,300,1024,1024,3,4,194.917,584.752,161.429,197.978,161.959,229.624,140.053,0
phase8_sigmas_warm_baked,4,8,300,1024,1024,3,4,247.716,743.148,127.955,139.278,127.517,141.962,47.8289,0
phase8_sigmas_warm_parameterized,4,8,300,1024,1024,3,4,195.859,587.576,162.102,169.941,160.848,171.099,77.0529,0
phase8_full_naive_streams1,4,8,300,1024,1024,3,1,260.636,781.909,121.593,131.791,121.11,135.51,48.1797,0
phase8_full_naive_streams4,4,8,300,1024,1024,3,1,289.628,868.883,110.971,120.989,108.869,122.846,66.8118,0
phase8_full_tile16_streams1,4,8,300,1024,1024,3,1,468.932,1406.8,65.8211,78.5931,67.1153,82.1265,59.4146,0
phase8_full_tile16_streams4,4,8,300,1024,1024,3,1,451.025,1353.08,68.6365,95.4517,70.0661,98.905,57.3115,0
phase8_unfused_grayscale,4,8,300,1024,1024,3,1,516.156,1548.47,55.0525,90.7928,60.9494,106.467,113.079,0
phase8_unfused_gaussian,4,8,300,1024,1024,3,1,339.373,1018.12,92.2229,101.618,92.829,108.857,60.1263,0
phase8_unfused_sobel,4,8,300,1024,1024,3,1,581.345,1744.04,52.9489,67.1051,54.0901,69.1613,48.3238,0
phase8_unfused_threshold,4,8,300,1024,1024,3,1,508.393,1525.18,63.654,78.9829,62.045,85.2555,45.2525,0
phase8_fused_full,4,8,300,1024,1024,3,1,260.624,781.873,119.456,160.154,120.719,169.917,104.828,0
phase8_len1,4,8,300,1024,1024,3,1,592.812,1778.44,52.2621,65.6673,53.0386,73.8773,51.5639,0
phase8_len2,4,8,300,1024,1024,3,1,565.279,1695.84,54.0748,85.8163,55.6535,89.5674,51.658,0
phase8_len4,4,8,300,1024,1024,3,1,256.579,769.736,122.374,132.436,122.801,135.144,68.3683,0
phase8_len6,4,8,300,1024,1024,3,1,225.424,676.271,141.086,145.179,140.038,147.38,51.5974,0
