start_ms,end_ms,dur_ms,stream,kind
0.0000,0.2593,0.2593,13,H2D
0.2701,5.3421,5.0720,13,kernel
0.3946,0.6568,0.2622,14,H2D
1.5660,1.8374,0.2714,15,H2D
5.1400,10.3147,5.1747,14,kernel
6.2865,6.5578,0.2712,16,H2D
10.1054,15.2974,5.1919,15,kernel
15.0679,15.5250,0.4570,13,kernel
15.5108,20.6026,5.0918,16,kernel
15.5269,15.7679,0.2410,13,D2H
20.3851,20.8424,0.4573,14,kernel
20.8275,21.1912,0.3637,15,kernel
20.8459,21.0869,0.2409,14,D2H
21.1767,21.5380,0.3613,16,kernel
21.1997,21.4407,0.2410,15,D2H
21.5468,21.7878,0.2410,16,D2H
32.0660,32.3311,0.2651,13,H2D
32.3343,32.6131,0.2788,14,H2D
32.3438,37.4237,5.0799,13,kernel
32.6167,32.8908,0.2741,15,H2D
32.8947,33.1801,0.2854,16,H2D
37.2126,42.3801,5.1675,14,kernel
42.1723,47.3410,5.1687,15,kernel
47.1385,52.3216,5.1831,16,kernel
52.1047,52.5610,0.4563,13,kernel
52.5463,52.9104,0.3641,14,kernel
52.5685,52.8096,0.2411,13,D2H
52.8963,53.2594,0.3631,15,kernel
52.9138,53.1547,0.2409,14,D2H
53.2451,53.6074,0.3623,16,kernel
53.2613,53.5024,0.2411,15,D2H
53.6086,53.8496,0.2410,16,D2H
61.1128,61.3766,0.2637,13,H2D
61.3790,61.6543,0.2753,14,H2D
61.3829,66.4657,5.0827,13,kernel
61.6579,61.9312,0.2732,15,H2D
61.9356,62.2097,0.2741,16,H2D
66.2535,71.4271,5.1735,14,kernel
71.2162,76.3909,5.1747,15,kernel
76.1759,81.3565,5.1806,16,kernel
81.1395,81.6000,0.4606,13,kernel
81.5855,81.9484,0.3629,14,kernel
81.6015,81.8425,0.2410,13,D2H
81.9343,82.2985,0.3642,15,kernel
81.9554,82.1963,0.2410,14,D2H
82.2834,82.6448,0.3614,16,kernel
82.3003,82.5413,0.2411,15,D2H
82.6476,82.8885,0.2409,16,D2H
88.7660,89.0292,0.2632,13,H2D
89.0325,89.3083,0.2758,14,H2D
89.0405,94.1129,5.0724,13,kernel
89.3119,89.5870,0.2751,15,H2D
89.5905,89.8643,0.2738,16,H2D
93.9113,99.0856,5.1743,14,kernel
98.8746,104.0394,5.1648,15,kernel
103.8345,109.0237,5.1893,16,kernel
108.7984,109.2582,0.4598,13,kernel
109.2435,109.6065,0.3630,14,kernel
109.2628,109.5039,0.2411,13,D2H
109.5923,109.9571,0.3648,15,kernel
109.6107,109.8518,0.2411,14,D2H
109.9420,110.3032,0.3612,16,kernel
109.9642,110.2050,0.2408,15,D2H
110.3090,110.5499,0.2410,16,D2H
115.2870,115.5469,0.2599,13,H2D
115.5523,120.6222,5.0699,13,kernel
116.0509,116.3206,0.2698,14,H2D
116.3239,116.5977,0.2738,15,H2D
116.6013,116.8728,0.2715,16,H2D
120.4229,125.5834,5.1605,14,kernel
125.3842,130.5589,5.1746,15,kernel
130.3510,135.5369,5.1859,16,kernel
135.3138,135.7704,0.4566,13,kernel
135.7555,136.1194,0.3639,14,kernel
135.7756,136.0168,0.2412,13,D2H
136.1053,136.4689,0.3636,15,kernel
136.1224,136.3634,0.2410,14,D2H
136.4542,136.8165,0.3623,16,kernel
136.4770,136.7180,0.2410,15,D2H
136.8231,137.0641,0.2410,16,D2H
139.3236,139.5828,0.2592,13,H2D
139.5922,144.6717,5.0795,13,kernel
140.1832,140.4513,0.2681,14,H2D
140.4550,140.7285,0.2735,15,H2D
140.7323,141.0050,0.2728,16,H2D
144.4577,149.6373,5.1795,14,kernel
149.4254,154.5938,5.1684,15,kernel
154.3865,159.5656,5.1791,16,kernel
159.3481,159.8085,0.4605,13,kernel
159.7941,160.1580,0.3639,14,kernel
159.8158,160.0569,0.2411,13,D2H
160.1435,160.5076,0.3641,15,kernel
160.1613,160.4023,0.2410,14,D2H
160.4926,160.8545,0.3619,16,kernel
160.5149,160.7558,0.2410,15,D2H
160.8599,161.1009,0.2409,16,D2H
163.2075,163.4673,0.2598,13,H2D
163.4754,168.5457,5.0703,13,kernel
164.1114,164.3761,0.2647,14,H2D
