label,sweep,chains,chain_ops,tile,streams,constants,prewarmed,width,height,channels,fps,req_mb_per_s,gb_per_s,p50_ms,p99_ms,cold_first_ms,mean_kernel_ms,mean_in_flight,nvrtc_compiles,failures
phase8_gaussian_baked,constants,gaussian:1.4,1,naive,1,baked,yes,1024,1024,3,345.105,1035.31,1.011,88.3234,136.121,60.0245,1.650,1.00,1,0
phase8_full_baked,constants,"grayscale,gaussian:1.4,sobel,threshold:0.3",4,naive,1,baked,yes,1024,1024,3,267.245,801.736,0.783,116.267,161.015,114.827,2.305,1.00,1,0
phase8_gaussian_parameterized,constants,gaussian:1.4,1,naive,1,parameterized,yes,1024,1024,3,288.7,866.1,0.846,109.678,114.227,68.9161,2.247,1.00,1,0
phase8_full_parameterized,constants,"grayscale,gaussian:1.4,sobel,threshold:0.3",4,naive,1,parameterized,yes,1024,1024,3,224.44,673.321,0.658,140.998,152.353,61.6845,3.183,1.00,1,0
phase8_sigmas_cold_baked,cache,gaussian:0.8 | gaussian:1.4 | gaussian:2.2 | gaussian:3,1,naive,1,baked,no,1024,1024,3,252.478,757.434,0.740,120.431,288.761,234.222,2.601,1.00,4,0
phase8_sigmas_cold_parameterized,cache,gaussian:0.8 | gaussian:1.4 | gaussian:2.2 | gaussian:3,1,naive,1,parameterized,no,1024,1024,3,197.273,591.819,0.578,158.274,193.336,141.924,3.745,1.00,1,0
phase8_sigmas_warm_baked,cache,gaussian:0.8 | gaussian:1.4 | gaussian:2.2 | gaussian:3,1,naive,1,baked,yes,1024,1024,3,261.787,785.361,0.767,121.019,127.27,63.1815,2.635,1.00,4,0
phase8_sigmas_warm_parameterized,cache,gaussian:0.8 | gaussian:1.4 | gaussian:2.2 | gaussian:3,1,naive,1,parameterized,yes,1024,1024,3,198.593,595.778,0.582,159.05,171.566,57.9567,3.783,1.00,1,0
phase8_full_naive_streams1,tile_x_streams,"grayscale,gaussian:1.4,sobel,threshold:0.3",4,naive,1,baked,yes,1024,1024,3,272.796,818.387,0.799,115.669,124.559,102.472,2.473,1.00,1,0
phase8_full_naive_streams4,tile_x_streams,"grayscale,gaussian:1.4,sobel,threshold:0.3",4,naive,4,baked,yes,1024,1024,3,319.029,957.087,0.935,94.5279,116.378,61.8473,9.712,3.35,1,0
phase8_full_tile16_streams1,tile_x_streams,"grayscale,gaussian:1.4,sobel,threshold:0.3",4,16,1,baked,yes,1024,1024,3,391.177,1173.53,1.146,82.4378,118.328,52.607,0.923,1.00,1,0
phase8_full_tile16_streams4,tile_x_streams,"grayscale,gaussian:1.4,sobel,threshold:0.3",4,16,4,baked,yes,1024,1024,3,504.192,1512.58,1.477,61.431,88.3235,44.4602,2.554,2.56,1,0
phase8_unfused_grayscale,fusion,grayscale,1,naive,1,baked,yes,1024,1024,3,585.924,1757.77,1.717,52.4863,74.1048,56.8523,0.044,1.00,1,0
phase8_unfused_gaussian,fusion,gaussian:1.4,1,naive,1,baked,yes,1024,1024,3,347.03,1041.09,1.017,90.3617,99.2376,44.2936,1.701,1.00,1,0
phase8_unfused_sobel,fusion,sobel,1,naive,1,baked,yes,1024,1024,3,453.47,1360.41,1.329,67.5192,93.3379,74.7537,0.170,1.00,1,0
phase8_unfused_threshold,fusion,threshold:0.3,1,naive,1,baked,yes,1024,1024,3,593.062,1779.18,1.737,52.3995,68.0586,48.0545,0.078,1.00,1,0
phase8_fused_full,fusion,"grayscale,gaussian:1.4,sobel,threshold:0.3",4,naive,1,baked,yes,1024,1024,3,270.491,811.474,0.792,116.947,121.901,62.0003,2.516,1.00,1,0
phase8_len1,chain_length,invert,1,naive,1,baked,yes,1024,1024,3,566.903,1700.71,1.661,52.715,85.2501,53.7987,0.053,1.00,1,0
phase8_len2,chain_length,"grayscale,sobel",2,naive,1,baked,yes,1024,1024,3,454.792,1364.38,1.332,71.5575,92.308,62.6888,0.247,1.00,1,0
phase8_len4,chain_length,"grayscale,gaussian:1.4,sobel,threshold:0.3",4,naive,1,baked,yes,1024,1024,3,269.873,809.619,0.791,117.447,122.636,60.418,2.518,1.00,1,0
phase8_len6,chain_length,"grayscale,brightness:0.1,gaussian:1.4,invert,sobel,threshold:0.3",6,naive,1,baked,yes,1024,1024,3,231.285,693.856,0.678,136.727,143.185,50.4278,3.108,1.00,1,0
